smiles,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,drugban_affinity,moltrans_affinity,tankbind_affinity,unimol_similarity
CC1=C(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,initial_370,reference,6.460058689,6.573231697,6.667148113,8.063916206,-9.8,-0.596588075,0.926766813,-8.07819758,-7.059740176,-9.751007,0.9674376
CCS(=O)(=O)NCCCCC(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,6.084742069,6.726155281,6.592828274,8.132634163,-9.8,-1.7998842,0.917678177,-8.185712,-7.972579,-8.593886,0.676923076923077
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(=O)c2ccc(O)cc2)CC1O,initial_370,reference,4.58058691,5.045213699,4.384955406,7.698850632,-9.8,-1.196128845,0.923118711,-8.246936,-7.888862,-8.790347,0.5694444444444444
CC(O)CCCC(C)C1CCC2C(=CC=C3CC(O)C(C)C(O)C3)CCCC21C,newRef_137,reference,5.358403206,5.577972889,4.500831127,7.194890022,-9.8,-0.736440241,0.931910455,-7.827882035,-6.943452778,-9.753206,0.9784448
CCn1c(C(=O)NCCC(=O)O)ccc1C(CC)(CC)c1ccc(C#CC(O)(CC)CC)c(C)c1,G3,transmol-reinvent-gmdldr,6.476652145,6.187590599,6.843382835,7.651802063,-9.86,-1.629853725,0.913940907,-8.737404471,-7.35997125,-9.747708,0.9595728
CCn1c(C(=O)NCC#N)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G2,gmdldr_reinvent,6.989814281,6.828199863,6.349703789,8.650280952,-9.9,-0.998634815,0.929512918,-8.034567933,-7.153135161,-9.750639,0.9484375
CCn1c(C(=O)O)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G2,gmdldr_reinvent,6.691896915,6.263043404,5.683111668,8.835055351,-9.9,-1.066811323,0.922776341,-8.231593844,-6.601178875,-9.766793,0.9647795
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)[N+](=O)[O-])CC[C@@H]23)C[C@@H](O)C[C@@H]1O,initial_370,reference,6.262011528,6.32399416,6.814682007,8.610302925,-9.9,-0.21484533,0.929017484,-8.04298303,-7.42276835,-9.765932,0.975168
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2(C=CC(=O)OCC)CC2)CC(O)CC1O,initial_370,reference,4.946156502,6.305896282,6.566318989,6.760715485,-9.9,-1.540369511,0.929861188,-8.589203,-7.328955,-8.742033,0.3793103448275862
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(OCCCO)C1O,initial_370,reference,5.977034569,6.379898071,5.41756773,8.72858429,-9.9,-0.964050293,0.915811181,-8.395423233,-7.314672928,-9.753193,0.9643333
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)C)CC(O)CC1O,initial_370,reference,4.791967392,5.841268539,4.382351875,5.16115284,-9.9,0.634907126,0.90479821,-8.018137284,-7.221002653,-9.754671,0.9691752
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCc2ccccc2)CC(O)CC1O,initial_370,reference,4.754123211,5.551632404,4.296319962,5.780093193,-9.9,0.590138018,0.92079109,-8.080551,-7.571225,-8.340519,0.3846153846153846
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCC)cc(OCCC)c2)CC(O)CC1O,initial_370,reference,7.000140667,6.604293823,6.145049095,7.715847015,-9.9,-0.042028502,0.918172359,-9.281693719,-7.141585063,-9.751768,0.9550382
CC1=C(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCCO)C1O,initial_370,reference,5.964848518,6.514201164,5.4752388,8.048334122,-9.9,-0.62014544,0.921725273,-7.996995,-7.517702,-9.402721,0.425
CCC(=CC=CC(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,initial_370,reference,5.717182159,6.522109509,4.538732529,8.438434601,-9.9,-2.196037292,0.92369175,-7.768088,-7.75827,-10.044903,0.0769230769230769
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CCC(=O)c2ccc(O)cc2)CC1O,initial_370,reference,5.455842972,6.178554058,4.548710823,9.107847214,-9.9,-1.445883989,0.921665847,-8.077651,-7.843174,-8.583773,0.4457831325301205
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(=O)C#CC=CC)CC1O,newRef_137,reference,5.18930006,7.027126312,4.894675732,8.086791992,-9.9,-1.263675928,0.929618537,-8.526614,-7.743066,-9.549975,0.4657534246575342
C=C1C(=CC=C2CCCC(C)(C(C)C(C)CC3CC(C)(O)C(=O)N3CCc3ccccc3)C2C)CC(O)CC1O,newRef_137,reference,9.522657394,8.141921043,7.52706337,8.223885536,-9.9,-0.567030489,0.930661023,-8.716218398,-7.284241668,-9.764623,0.9487254
CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,4.913414955,6.048495293,4.61330986,5.945410728,-9.909,-1.403735161,0.9174698,-8.308495834,-7.075508659,-9.765789,0.9378115
CCn1c(C(=O)NCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,6.503826618,6.597239494,7.089356422,8.93108654,-9.934,-1.574789524,0.921580434,-8.50634215,-7.372273505,-9.748191,0.94519603
CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,6.514671326,6.543441296,6.861738205,9.02781868,-9.969,-1.366306543,0.921628475,-8.412239001,-7.454818899,-9.748897,0.94392717
CCn1c(C(=O)NCCN(C)C)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1,G2,reinvent_transmol,6.639708996,6.25895834,6.247148514,8.138916969,-10.0,-0.394430101,0.914248884,-8.032215196,-7.056100097,-9.746844,0.93822956
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCCCC)CC(O)CC1O,G2,gmdldr_reinvent,7.789126396,8.704262733,7.62425375,9.434100151,-10.0,-2.157224417,0.922507405,-7.732843318,-7.360300092,-9.753254,0.96163404
C=C1/C(=C\C=C(/CC)c2cccc(CCC#CCC(C)(C)O)c2)C[C@@H](O)C[C@@H]1O,initial_370,reference,6.318788528,6.497165203,6.987641335,7.996265411,-10.0,-0.494362563,0.918143868,-8.653415699,-6.650119409,-9.768404,0.9353539
C=C1C(=CC=C2CCCC3(C)C(C(C)CCC(F)(F)C(O)(CC)CC)=CCC23)CC(O)CC1C(F)F,initial_370,reference,6.058582306,6.295513153,4.27628231,7.033478737,-10.0,-1.594586134,0.9239586,-7.567844,-7.132707,-8.301683,0.3448275862068966
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)C(C)C1O,initial_370,reference,7.011636734,5.449791908,5.059191704,5.9223032,-10.0,-1.37558341,0.936032712,-8.662664947,-7.000396281,-9.759355,0.9723413
CCC(CC)(c1ccc(O)c(C)c1)c1ccc(NCC(=O)C(C)(C)C)c(C)c1,initial_370,reference,4.716136932,5.861183643,4.6777215,4.322516441,-10.0,0.706439972,0.922129333,-7.78109,-7.25768,-9.572029,0.0853658536585365
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCC)cc(OCC)c2)CC(O)CC1O,initial_370,reference,6.626626015,6.821079731,6.160316467,7.746200562,-10.0,-1.1662637,0.922809601,-8.457668256,-7.193273069,-9.752763,0.94859684
CC(CCCCNS(C)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,6.639708996,6.25895834,6.247148514,8.138917923,-10.0,-0.250358164,0.915696561,-8.486893292,-6.801050731,-9.763285,0.96636885
CC(CCCC(=O)Nc1ccccc1N)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,5.805593967,6.395761967,4.811680317,7.414115906,-10.0,-0.746571004,0.921706021,-8.459437,-7.5415,-8.609946,0.625
CCC(C)C(CO)NC(=O)c1ccc(C(CC)(CC)c2ccc(OCCC(O)(CC)CC)c(C)c2)n1CC,initial_370,reference,8.103654861,7.881560326,6.055782795,8.518716812,-10.0,-1.561054945,0.932519257,-8.719248,-7.581492,-9.086393,0.099009900990099
CCC(O)(CC)COc1ccc(C(CC)(CC)c2ccc(OC(CO)CO)c(C)c2)cc1C,newRef_137,reference,7.745319366,8.668402672,7.96539259,8.672777176,-10.0,-1.917131543,0.934288442,-8.437482,-7.77336,-9.131603,0.0975609756097561
C=C1C(O)CC(=CC=CCC(C)CC(C)CCCC(C)(C)O)CC1O,newRef_137,reference,9.161102295,8.406700134,8.332321167,8.779597282,-10.0,-1.651015759,0.919467568,-7.872158,-8.323458,-8.90351,0.3428571428571428
CCC(CC)(c1ccc(C#CC(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(OCC(O)CCC(=O)O)c(C)c1,newRef_137,reference,8.368919373,8.354790688,7.234787941,8.951071739,-10.0,-0.053862631,0.906021774,-8.294675049,-6.889631892,-9.7463255,0.9065373
CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)O)n1C,G3,transmol-reinvent-gmdldr,6.314901352,5.911782742,5.940359116,8.615617752,-10.088,-1.717928648,0.929611325,-8.835464089,-6.942565007,-9.749928,0.9527831
CCn1c(C(=O)NCCCN(C)C)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,G2,reinvent_transmol,5.285358906,5.602983475,5.819421768,6.908430099,-10.1,-0.761655629,0.918887258,-7.435328393,-7.066560688,-9.744785,0.9367496
CCn1c(C(=O)NCCCN(C)C)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1,G2,reinvent_transmol,6.650052547,6.319408417,5.917236328,7.958762169,-10.1,-0.262441307,0.922664165,-8.21548475,-7.017417232,-9.743939,0.9440589
