index,is_calib_neg,meta_score
12532,1,0.459091869298758
14007,1,0.47060351983265
15658,1,0.4643058641707094
8828,1,0.5199146434899188
8316,1,0.4704864207565227
11816,1,0.4369835522074902
3775,1,0.414668237912498
11420,1,0.4561197517151165
5714,1,0.4489392773791534
4996,1,0.4720702954997791
15321,1,0.4296753220760089
14888,1,0.452462874298802
13170,1,0.4042058230509415
8105,1,0.4349633489020204
10227,1,0.5236683403536366
5987,1,0.4364845929338129
3315,1,0.4806183925487841
3866,1,0.4476635333625532
3962,1,0.467292330392417
10373,1,0.5446369669694241
8328,1,0.5041566738669018
15894,1,0.4964391625262152
6122,1,0.4574569627889116
15458,1,0.4909527573889251
12067,1,0.461763082046507
15133,1,0.4679672376039335
11496,1,0.470221851097429
12462,1,0.4619913372316303
12339,1,0.5028579832914275
13261,1,0.3921453732417758
7625,1,0.4417635156524959
7205,1,0.4714763550606848
13155,1,0.4856155181423425
11534,1,0.4354688538378657
7969,1,0.4514016890509518
11023,1,0.4441806025569643
15010,1,0.4352745524152787
5506,1,0.461560939967386
14263,1,0.4773339931126505
7002,1,0.4509336706044007
14042,1,0.4891823551676363
15522,1,0.4478762623466829
4390,1,0.4405461492107877
12294,1,0.4770633694301408
7123,1,0.4446730599964836
7871,1,0.4296744186993555
13082,1,0.460118934710012
14156,1,0.4334062553052958
8591,1,0.4128893793050737
5514,1,0.4828471133307117
10541,1,0.434620421172861
11158,1,0.4468020739674124
5939,1,0.4447721102576286
13874,1,0.4583105123694356
3599,1,0.4700556706594598
11557,1,0.4953986514020754
15610,1,0.4572942440974378
15114,1,0.458114960768358
3368,1,0.4671333185999332
8359,1,0.4585041862766895
12728,1,0.4409886954273093
3820,1,0.460770896885009
5976,1,0.4113775564986879
11386,1,0.4744734141052922
6947,1,0.410547770282405
13260,1,0.4057576698141092
11645,1,0.4388622734663619
7165,1,0.4413987993389089
11267,1,0.4095445045868079
12355,1,0.4540730270936661
12551,1,0.4304622965476751
12816,1,0.4659265922432306
12010,1,0.5253876423467216
16076,1,0.4465529763638644
6087,1,0.4610409296453864
4125,1,0.5436174764847148
8733,1,0.5537802668043468
12060,1,0.4684060520391571
8798,1,0.4270881051187916
6587,1,0.4546681298440778
6152,1,0.4916605750988804
7811,1,0.4518677287708103
8654,1,0.4668403232440515
12194,1,0.4678722935775506
15953,1,0.4426892671562308
11543,1,0.4813504285843181
7243,1,0.422808903001989
13358,1,0.4258087037808209
16115,1,0.4501215612963531
14215,1,0.4351485048605235
15124,1,0.476492150058485
16015,1,0.5524926901910883
14092,1,0.4518011629335083
8830,1,0.4756717421551538
11120,1,0.4888764802082503
11520,1,0.4700863300944874
4959,1,0.4804953752381128
8066,1,0.5091505710077096
16181,1,0.485690012952884
6602,1,0.4643506645422103
12049,1,0.4365983934977799
9031,1,0.4614396114002265
14211,1,0.4418786479912835
12868,1,0.4948583792443811
8356,1,0.4658105397632847
12259,1,0.4943593381718268
6491,1,0.4454693118407539
10157,1,0.5187886491422424
15689,1,0.4285475767346868
13694,1,0.5009732267338649
10170,1,0.4928336498485991
15095,1,0.497005649982583
11089,1,0.4534855057427652
16001,1,0.4737617362218305
8337,1,0.4620090150847063
12567,1,0.4514366149970378
15084,1,0.4359009935410917
5751,1,0.4241595388502439
7743,1,0.4940808674641097
7297,1,0.5188057188469147
5716,1,0.4871162899093613
10582,1,0.4615867240980157
14914,1,0.4564403489966745
15554,1,0.4319590019135839
16094,1,0.457464681070486
12905,1,0.4709694944632207
8831,1,0.5120458476306211
4182,1,0.4180705039659699
15168,1,0.5002769481444113
15787,1,0.4740560745045489
7346,1,0.4927821300711837
15790,1,0.5039318356811854
14445,1,0.4671011009160951
5898,1,0.4274176022640003
15449,1,0.5066060834994048
8896,1,0.4604927450783017
8558,1,0.4558157220161237
10984,1,0.4262944416327849
3654,1,0.4721982136152917
11662,1,0.4227371205635885
14157,1,0.411200305710823
13150,1,0.4217806509064373
6619,1,0.4769676391499862
15835,1,0.4570032634478228
11208,1,0.4703660696139944
11185,1,0.4535854901666321
1798,1,0.4682191331552928
6474,1,0.4635282259100694
11773,1,0.4544857202069128
12418,1,0.4802028595028903
3632,1,0.4920239538900384
13053,1,0.4569966916759435
13876,1,0.4243981016191624
4124,1,0.4477932396394274
8145,1,0.4269541466446213
4488,1,0.4112621342696913
10550,1,0.4243526252411025
12985,1,0.4643928983710974
13107,1,0.4208701512938707
13074,1,0.5091001032985303
4655,1,0.444959922869038
13303,1,0.4728051533274645
8688,1,0.3855395844667733
6043,1,0.4806361449355614
