fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
3,UniMol_sim,30.264325680108044,11,22.010418676442214,16,14.246575342465754,52,7.534246575342466,55,3.835616438356164,56,2.557077625570776,56,0.7927221621955658,0.08177063206844071,0.5549193186555746
4,GraphDTA_Kd,2.7513023345552767,1,2.7513023345552767,2,1.095890410958904,4,0.821917808219178,6,1.0273972602739727,15,1.0502283105022832,23,0.5059262241816982,0.005578601703608415,0.0521732004271199
4,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.045662100456621,1,0.052513829465717685,0.002946959202978714,0.0001441880827041078
4,GraphDTA_IC50,11.005209338221107,4,11.005209338221107,8,6.027397260273973,22,3.4246575342465753,25,1.917808219178082,28,1.461187214611872,32,0.5948784870578989,0.021891035548891512,0.2522511009737027
4,MLTLE_pKd,11.005209338221107,4,5.5026046691105535,4,1.917808219178082,7,1.917808219178082,14,1.5068493150684932,22,1.552511415525114,34,0.6459685743556467,0.009913920454994698,0.12301096735186798
4,Vina,2.7513023345552767,1,1.3756511672776384,1,0.821917808219178,3,1.2328767123287672,9,1.4383561643835616,21,1.552511415525114,34,0.6710426581927696,0.007531057996476774,0.059637735182346184
4,Boltz_affinity,5.5026046691105535,2,2.7513023345552767,2,7.671232876712328,28,5.47945205479452,40,3.9726027397260273,58,2.922374429223744,64,0.8477894580317114,0.025761184389236393,0.2861468031808668
4,Boltz_confidence,19.259116341886937,7,16.50781400733166,12,12.32876712328767,45,9.452054794520548,69,5.0,73,3.3333333333333335,73,0.9594375904624242,0.06817502835803968,0.5205154748116636
4,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.410958904109589,6,0.365296803652968,8,0.3353987009137248,0.003631528276923682,0.022895898384831345
4,DrugBAN,8.25390700366583,3,6.878255836388192,5,1.917808219178082,7,2.191780821917808,16,1.9863013698630136,29,1.8721461187214612,41,0.6236932132542718,0.010459758004067872,0.12404220832275704
4,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.273972602739726,2,0.547945205479452,8,0.639269406392694,14,0.2938021592215911,0.0034801138574283305,0.01677411315402949
4,UniMol_sim,16.50781400733166,6,16.50781400733166,12,12.054794520547945,44,6.438356164383562,47,3.356164383561644,49,2.4657534246575343,54,0.7501856320324125,0.061490590915587305,0.47486161516981923
5,GraphDTA_Kd,0.0,0,0.0,0,0.273972602739726,1,0.547945205479452,4,0.821917808219178,12,0.958904109589041,21,0.5214179293989964,0.005191816546846225,0.0261883287214908
5,GraphDTA_Ki,0.0,0,0.0,0,0.547945205479452,2,0.273972602739726,2,0.273972602739726,4,0.273972602739726,6,0.16587923924179088,0.0030479289182476646,0.019433739599484214
5,GraphDTA_IC50,22.010418676442214,8,24.76172101099749,18,8.219178082191782,30,4.52054794520548,33,2.73972602739726,40,1.9634703196347032,43,0.6844086473145876,0.05354162705458027,0.3649833135541105
5,MLTLE_pKd,13.756511672776384,5,6.878255836388192,5,1.917808219178082,7,2.4657534246575343,18,1.7123287671232876,25,1.735159817351598,38,0.650547819680568,0.01060357996817904,0.12679933450859093
5,Vina,8.25390700366583,3,4.126953501832915,3,1.917808219178082,7,2.0547945205479454,15,1.8493150684931507,27,1.8721461187214612,41,0.7074294332743366,0.00987832649077433,0.11114637176611428
5,Boltz_affinity,11.005209338221107,4,6.878255836388192,5,7.397260273972603,27,5.7534246575342465,42,3.835616438356164,56,2.8767123287671232,63,0.8632763353678025,0.029757375786117556,0.31691387206790955
5,Boltz_confidence,16.50781400733166,6,11.005209338221107,8,10.684931506849315,39,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9520687953760485,0.053014789115078294,0.45720156802756673
5,TankBind,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.136986301369863,2,0.182648401826484,4,0.30153642491534305,0.003411737866740009,0.012083087569227163
5,DrugBAN,11.005209338221107,4,5.5026046691105535,4,2.191780821917808,8,2.73972602739726,20,2.1232876712328768,31,1.643835616438356,36,0.6314680331501635,0.010583805615822933,0.13606371861558506
5,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.410958904109589,6,0.45662100456621,10,0.24020736715360674,0.0031843753549669358,0.011090925594139205
5,UniMol_sim,22.010418676442214,8,19.259116341886937,14,13.972602739726028,51,6.986301369863014,51,3.6301369863013697,53,2.6027397260273974,57,0.809598986531177,0.07797050185592737,0.5388188978290704
