fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc,test_mean_rank
2,MolTrans,0.0,0,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.6164383561643836,9,0.776255707762557,17,0.34972205887890806,0.0038885398199550985,0.010065253482790524,9262.493150684932
2,UniMol_sim,19.259116341886937,7,19.259116341886937,14,11.506849315068493,42,6.027397260273973,44,3.4246575342465753,50,2.557077625570776,56,0.7605023313838348,0.06342562548625183,0.2545131274818507,3434.753424657534
3,GraphDTA_Kd,0.0,0,0.0,0,0.547945205479452,2,1.095890410958904,8,0.958904109589041,14,1.0502283105022832,23,0.5781513270397074,0.0060172342830295475,0.0021242790641958107,6021.767123287671
3,GraphDTA_Ki,0.0,0,0.0,0,0.273972602739726,1,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.14271603078643288,0.002821102165126967,0.0018371127237569375,12199.287671232876
3,GraphDTA_IC50,27.513023345552767,10,19.259116341886937,14,8.219178082191782,30,4.931506849315069,36,2.671232876712329,39,2.0547945205479454,45,0.711140142770103,0.04799261307552479,0.21091067601201502,4135.054794520548
3,MLTLE_pKd,2.7513023345552767,1,4.126953501832915,3,3.0136986301369864,11,3.0136986301369864,22,2.0547945205479454,30,1.8721461187214612,41,0.7005530820710837,0.013679868806716821,0.05757600485133445,4285.253424657534
3,Vina,0.0,0,0.0,0,1.36986301369863,5,1.5068493150684932,11,1.917808219178082,28,1.7808219178082192,39,0.7080300216964981,0.008695790466284473,0.008520005773310791,4179.178082191781
3,Boltz_affinity,2.7513023345552767,1,6.878255836388192,5,7.945205479452055,29,6.301369863013699,46,4.2465753424657535,62,3.0136986301369864,66,0.8811491515964355,0.03256515496274781,0.11351862820187887,1723.13698630137
3,Boltz_confidence,13.756511672776384,5,12.380860505498745,9,10.136986301369863,37,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9526191738336564,0.055274995954325,0.1678528008199755,709.1917808219179
3,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.29939912190496604,0.004172719241538447,0.01997913342541251,9976.424657534246
