fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_2.5,test_hits_2.5,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_auroc,test_auprc,test_bedroc,test_mean_rank
4,Boltz_confidence,2.649715504978663,1,9.211762628046626,7,10.541878890775326,20,10.264535499823383,39,9.211762628046626,70,5.000671140939597,76,0.9503379553700113,0.049824289299475855,0.137435262490487,774.7894736842105
4,TankBind,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.13159660897209466,2,0.34813707427208246,0.0035564967358689206,3.469846549074883e-07,9703.019736842105
4,DrugBAN,2.649715504978663,1,2.6319321794418933,2,2.108375778155065,4,2.1055457435535145,8,1.3159660897209466,10,1.381764394206994,21,0.5483827309065865,0.00724270574335155,0.03707952075201473,6734.1776315789475
4,MolTrans,0.0,0,0.0,0,0.5270939445387662,1,0.5263864358883786,2,0.5263864358883786,4,0.46058813140233135,7,0.3086767023791774,0.0035423903880902876,0.005083657877489239,10288.059210526315
4,UniMol_sim,0.0,0,2.6319321794418933,2,2.6354697226938315,5,1.8423525256093254,7,1.97394913458142,15,1.579159307665136,24,0.6565479740427557,0.008725795452562074,0.03456885459537994,5130.519736842105
5,GraphDTA_Kd,13.248577524893314,5,7.89579653832568,6,3.1625636672325976,6,1.8423525256093254,7,1.7107559166372306,13,1.184369480748852,18,0.5321678842999851,0.018571351019529624,0.07749211392741708,6974.578947368421
5,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.13159660897209466,1,0.13159660897209466,2,0.13171295803247496,0.0027576840070194205,1.457092325535348e-05,12911.723684210527
5,GraphDTA_IC50,13.248577524893314,5,9.211762628046626,7,10.01478494623656,19,7.106216884493112,27,3.8163016601907453,29,2.434537265983751,37,0.6442496112803254,0.0291088530813371,0.14601028662444868,5312.855263157895
5,MLTLE_pKd,2.649715504978663,1,1.3159660897209466,1,1.0541878890775325,2,1.0527728717767573,4,1.4475626986930414,11,1.2501677852348994,19,0.5922956292998786,0.006905621667252407,0.019323538297118973,6083.125
5,Vina,0.0,0,1.3159660897209466,1,0.5270939445387662,1,0.789579653832568,3,1.97394913458142,15,1.776554221123278,27,0.7026210178420556,0.008622977194775009,0.009637992170253405,4447.440789473684
5,Boltz_affinity,0.0,0,0.0,0,5.270939445387663,10,6.579830448604733,25,5.790250794772166,44,3.94789826916284,60,0.8583161160692098,0.025515564244631715,0.06339731837591091,2139.1052631578946
5,Boltz_confidence,10.598862019914652,4,13.159660897209466,10,12.65025466893039,24,10.790921935711763,41,9.211762628046626,70,5.000671140939597,76,0.9550842403459072,0.058793281821695326,0.1857303345211704,704.421052631579
5,TankBind,0.0,0,0.0,0,0.5270939445387662,1,0.2631932179441893,1,0.13159660897209466,1,0.13159660897209466,2,0.3583431844483731,0.0036730220738661395,0.006625957479850139,9551.703947368422
5,DrugBAN,5.299431009957326,2,3.94789826916284,3,2.108375778155065,4,1.579159307665136,6,1.579159307665136,12,1.4475626986930414,22,0.5553441855346581,0.007404124369634972,0.03987852941426471,6630.9671052631575
5,MolTrans,0.0,0,0.0,0,0.0,0,0.5263864358883786,2,0.394789826916284,3,0.5263864358883786,8,0.3536749984025219,0.0037759085922421305,0.0019542626809801143,9620.91447368421
5,UniMol_sim,0.0,0,1.3159660897209466,1,4.21675155631013,8,2.6319321794418933,10,2.237142352525609,17,1.8423525256093254,28,0.698823457368634,0.010551725854644188,0.043103233854356354,4503.743421052632
