source,smiles,meta_score,pval,pval_weighted,pval_unweighted,qval,selected,pu_label
initial_370,CCC(CC)(c1ccc(OCC(=O)O)c(C)c1)c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1,0.7855260491261002,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,CCC(CC)(c1ccc(CCC(O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)CCC(=O)O)c(C)c1,0.7851098976528182,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,CCC(CC)(c1ccc(C#CC(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(OC[C@@H](O)CCC(=O)O)c(C)c1,0.7844165999973296,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC1O,0.7840515045042286,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)[C@H](OCCC)[C@@H]1O,0.7831559392014867,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)(C)O)CC1O,0.7829995293412388,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)C(C)C1O,0.7824429011732965,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,CCC(C)C(NC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)n1CC)C(=O)OC,0.7822375833202695,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,CC/C(=C\C=C\C(O)(C(F)(F)F)C(F)(F)F)c1cccc(CCc2ccc(CO)c(CO)c2)c1,0.7821570018396773,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,CCN(CC)CCNC(=O)c1cc(C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2)cn1CC,0.7820486495388815,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C[C@H](CC#CC(C)(C)O)[C@H]1CC[C@@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C,0.7819337331521025,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C(CCC)CCCC)CC(O)CC1O,0.7809141780844477,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,CCC(CC)(c1ccc(OC[C@@H](O)C(C)(C)C)c(C)c1)c1cc(C)c(C(=O)Nc2nnn[nH]2)s1,0.7808769233751417,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C[C@@H]1[C@H](O)C=C(C#CC2=CCC[C@@]3(C)[C@@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@H]1O,0.7797586775174845,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,CCN(CC)CCCNC(=O)c1ccc(C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2)n1CC,0.7796968532495847,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
