index,meta_score,pu_label,source,smiles
90,0.6956621120648889,1,initial_370,CC(C=CC(=O)NO)=CC(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
91,0.7109900465967551,1,initial_370,CC(CCCCNC(=O)CS)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
92,0.8185834282553008,1,initial_370,CC(CCCNS(N)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
93,0.724413728823406,1,initial_370,CC(CCCNC(=O)CS)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
94,0.7968760973376672,1,initial_370,CCC(CC)(c1ccc(OCC(CO)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1
97,0.7279094820096863,-1,G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C(=O)O)CC(O)CC1O
98,0.721987737448362,-1,G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC)CC(O)CC1O
99,0.7642722903209862,-1,G2,CCn1c(C(=O)NCCC#N)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1
100,0.7692722705378422,1,initial_370,CC1[C@H](O)CC(=C/C=C2\CCC[C@@]3(C)[C@H]2CCCC[C@H]3[C@H](C)CCCC(C)(C)O)C[C@H]1O
101,0.7924273841840345,1,initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)[C@@H](O)[C@@H](O)C[C@@H]1O
102,0.7412498537675727,1,initial_370,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@@](C)(O)CCCC(C)C
103,0.7264220269985266,1,initial_370,C=C1CC(CC(C)C2CCC3C(=CC=C4CC(O)CC(O)C4=C)CCCC32C)OC1=O
104,0.7551559224161217,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)CC1O
105,0.6903450838839638,1,initial_370,COCOCCC=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC1O
106,0.5484827564340697,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCCc2ccccc2)CC(O)CC1O
107,0.7025679784439173,1,initial_370,CCSC(=S)SC(=O)NCCCCC(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
108,0.7034048199517888,1,initial_370,CNC(=O)C(=O)CCCCC(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C
109,0.5708095231139663,1,initial_370,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(OC(CCO)CCO)c(C)c1
110,0.7863893031801394,1,initial_370,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CCC(C)(C)O)CC1O
111,0.5777506881099483,1,initial_370,COC(=O)c1ccc(OCc2oc(-c3ccccc3OC)nc2C)cc1
112,0.5586322037203217,1,initial_370,COC(=O)c1ccccc1OCc1oc(-c2ccccc2OC)nc1C
116,0.8042553994815971,-1,G3,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)CC1O
117,0.7691850505567182,-1,G2,C#CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC
118,0.7795229287690351,-1,G2,CCN(CC)CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1C
119,0.7894962071505538,-1,G2,CC1=C(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
120,0.7764582260733868,-1,G2,CCC(CC)(c1ccc(OCC(=O)O)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1
121,0.7246498942980352,-1,G2,CCn1c(C(=O)N(C)CCC#N)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1
122,0.8457699772164076,-1,G2,CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(C#CC(O)(CC)CC)c(C)c1
123,0.8575323315749276,-1,G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C(C)(C)O)CC(O)CC1O
124,0.7512232106952405,-1,G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C(C)CCCCO)CC(O)CC1O
125,0.7619632930366971,-1,G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC)CC(O)CC1O
126,0.784268898753305,-1,G2,CCn1c(C(=O)NCC(O)CO)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1
127,0.7479158890885181,-1,G2,CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1
128,0.7128702193676166,1,initial_370,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
